id,type,question_text,image_paths,choices,correct_answers
18,multiple,"Monsieur R., 67 ans, est hospitalisé pour une colectomie droite en raison d’un adénocarcinome colique. L’examen préanesthésique retrouve un cou court rigide, une ouverture buccale limitée à deux doigts, et un Mallampati II. Il présente une dentition conservée, un visage normoconformé et des tissus cervicofaciaux souples. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Cou court rigide|Ouverture buccale limitée|Mallampati III|Édenté","0|1"
19,multiple,"Madame B., 52 ans, doit subir une hystérectomie totale par coelioscopie pour fibrome utérin symptomatique. Elle a des antécédents de chirurgie cervicale limitant l’extension du rachis cervical, un score de Mallampati IV, et une ouverture buccale large. La mâchoire est mobile, la langue de taille normale et aucun obstacle facial ou ORL n’est retrouvé. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Limitation de l'extension du rachis cervical|Score de Mallampati IV|Ouverture buccale limitée|Langue volumineuse","0|1"
20,multiple,"Monsieur A., 74 ans, est programmé pour une cure de hernie inguinale. Il présente une rétrognathie marquée, un Mallampati III, et une ouverture buccale correcte. Les tissus faciaux sont souples, la bouche fermée à l’état de repos et aucune anomalie maxillo-faciale n’est notée. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Rétrognathie marquée|Mallampati III|Ouverture buccale limitée|Tissus cervicofaciaux infiltrés","0|1"
21,multiple,"Madame D., 60 ans, est admise pour une cholecystectomie laparoscopique en raison de coliques biliaires récidivantes. Elle présente un IMC de 35, une distance thyro-mentonnière réduite, une ouverture buccale franche et un Mallampati II. La mobilité cervicale est conservée, la morphologie faciale harmonieuse, et aucun obstacle intra-buccal n’est observé. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","IMC de 35|Distance thyro-mentonnière réduite|Ouverture buccale limitée|Mobilité cervicale réduite","0|1"
22,multiple,"Monsieur C., 45 ans, est pris en charge pour une ligamentoplastie du genou après entorse grave. Il présente une micrognathie, une distance thyro-mentonnière raccourcie, une ouverture buccale large et un Mallampati I. La cavité orale est dégagée, les tissus cervicofaciaux sont souples, et la conformation nasale est régulière. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Micrognathie|Distance thyro-mentonnière raccourcie|Ouverture buccale limitée|Mallampati IV","0|1"
23,multiple,"Monsieur L., 58 ans, est hospitalisé pour la pose d’une prothèse totale de hanche secondaire à une coxarthrose invalidante. Il présente un Mallampati I, une ouverture buccale large à trois doigts et une distance thyro-mentonnière supérieure à 6 cm. Son IMC est de 38, sa langue est proéminente, et son visage présente une asymétrie osseuse ancienne post-traumatique. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","IMC de 38|Asymétrie osseuse faciale|Langue proéminente|Distance thyro-mentonnière < 6 cm","0|1|2"
24,multiple,"Madame K., 47 ans, est prise en charge pour une thyroïdectomie totale en raison d’un goitre multinodulaire compressif. Elle présente une langue volumineuse, elle est édentée et présente une morphologie faciale triangulaire. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Langue volumineuse|Édentée|Ouverture buccale limitée|Mallampati IV","0|1"
25,multiple,"Monsieur E., 54 ans, est hospitalisé pour une ligamentoplastie du genou après une rupture du ligament croisé antérieur ; l'examen clinique retrouve une distance thyro-mentonnière de 7 cm, il est édenté et porteur d’un syndrome d’apnées du sommeil . Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Syndrome d'apnées du sommeil non appareillé|Distance thyro-mentonnière raccourcie|Mallampati III|Édenté","0|3"
26,multiple,"Madame N., 74 ans, est prévue pour une cholécystectomie laparoscopique pour lithiase symptomatique. Elle présente une ouverture buccale large, un Mallampati I, et une distance thyro-mentonnière supérieure à 6 cm. Elle est édentée, de petit gabarit, et présente une hypotonie faciale liée à l’âge. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Édentée|âge >55 ans|Ouverture buccale limitée|Mallampati IV","0|1"
27,multiple,"Monsieur S., 63 ans, est admis pour une cure de hernie ombilicale. Il a une ouverture buccale de trois travers de doigts, un Mallampati II et une distance thyro-mentonnière dans les normes. Il présente une obésité abdominale, est porteur d’un syndrome d’apnées du sommeil non appareillé, et porte une barbe épaisse. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Obésité|Syndrome d'apnées du sommeil non appareillé|Barbe épaisse|Mallampati III","0|1|2"
28,multiple,"Madame T., 59 ans, est programmée pour une hystérectomie par laparotomie pour fibrome utérin volumineux. L’examen préanesthésique montre un Mallampati II, une ouverture buccale large à trois doigts, et une distance thyro-mentonnière raccourcie à 5 cm. Elle a une dentition stable, pas de pathologie ORL, et une bonne conformation faciale. Elle présente un syndrome d’apnées du sommeil diagnostiqué mais non appareillé, un visage ovale, et une langue de taille moyenne. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Distance thyro-mentonnière raccourcie|Syndrome d'apnées du sommeil non appareillé|Ouverture buccale limitée|Édentée","0|1"
29,multiple,"Monsieur D., 68 ans, est hospitalisé pour une cure de hernie inguinale bilatérale. L’ouverture buccale est large, le Mallampati est I, et une rétrognathie modérée est notée à l’examen facial. Le reste de l’examen ORL est sans particularité. Il est obèse, porte une barbe dense, et n’a pas d’antécédent de pathologie respiratoire. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Rétrognathie modérée|Obésité|Barbe dense|Ouverture buccale limitée","0|1|2"
30,multiple,"Monsieur H., 69 ans, est hospitalisé pour une résection transurétrale de prostate. Il présente un Mallampati I, une ouverture buccale de trois travers de doigts, et une mobilité cervicale réduite. La dentition est stable, la morphologie faciale est régulière, et les tissus mous du visage sont souples. Il est obèse avec un IMC de 35, n’a pas de syndrome d’apnées du sommeil connu, et ne présente pas de pathologie ORL. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Mobilité cervicale réduite|Obésité|Mallampati IV|Édenté","0|1"
31,multiple,"Madame V., 72 ans, est programmée pour une cholécystectomie laparoscopique pour lithiase symptomatique. Elle présente une ouverture buccale large, une distance thyro-mentonnière correcte, et un score de Mallampati III. Elle est édentée, ne présente pas de syndrome d’apnées du sommeil connu, et a une morphologie faciale régulière. Sa langue est de taille normale, la mobilité cervicale est conservée, et les tissus cervicofaciaux sont souples. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Score de Mallampati III|Édentée|Ouverture buccale limitée|Mobilité cervicale réduite","0|1"
32,multiple,"Monsieur F., 63 ans, est pris en charge pour une cure de hernie ombilicale. Il a une ouverture buccale large, un Mallampati IV. Sa langue est de taille normale, il n’a pas d’anomalie ORL et sa dentition est stable. Il porte une barbe dense, n’a pas de syndrome d’apnées du sommeil, et présente une morphologie faciale harmonieuse. Quels sont les critères d'intubation ou de ventilation difficile dans ce cas?","","Score de Mallampati IV|Barbe dense|Ouverture buccale limitée|Édenté","0|1"
