id,type,question_text,image_paths,choices,correct_answers
1,single,"Parmi les critères suivants, lequel est classiquement considéré comme un facteur prédictif d’intubation difficile lié à l’âge ?","assets/images/age_avance.webp","Sarcopénie|Âge > 55 ans|Rigidité articulaire généralisée|Âge avancé sans pathologie associée","1"
2,single,"Comment classer ce critère prédictif d’intubation difficile ?","assets/images/mallampati.webp","Score de Cormack-Lehane grade III|Score de Mallampati classe II|Score de Mallampati classe III|Limitation de la protrusion mandibulaire classe B","2"
3,single,"Quel critère visible sur cette image suggère une intubation difficile ?","assets/images/mobilite_cervicale_reduite.webp","Position 'en prière' (Prayer sign)|Distance sterno-mentonnière réduite en extension|Limitation de la mobilité du rachis cervical|Arthrose cervicale sans limitation fonctionnelle","2"
4,single,"Quelle atteinte cutanée visible ici est un facteur de risque majeur d'intubation et de ventilation difficile ?","assets/images/cicatrice_brulure.webp","Cicatrice de brûlure rétractile|Érythème cervical diffus|Goitre induré|Antécédent de radiothérapie cervicale","0"
5,single,"Quelle pathologie cervicale visible ici est connue pour dévier et comprimer la trachée ?","assets/images/goitre_plongeant.webp","Tumeur laryngée supra-glottique|Abcès rétropharyngé|Adénopathies cervicales multiples|Goitre plongeant ou compressif","3"
6,single,"Quelle mesure est un critère direct d'intubation difficile ?","assets/images/ouverture_bouche_limitee.webp","Édentement complet|Ouverture de bouche < 3 cm|Distance inter-incisive < 3 cm|Mobilité mandibulaire limitée","1"
7,single,"Quel est le terme anatomique qui décrit précisément cette anomalie faciale ?","assets/images/prognathisme.webp","Micrognathie|Prognathisme|Asymétrie faciale mineure|Rétrognathisme","1"
8,single,"Quel facteur de risque est illustré ici, connu pour compliquer à la fois la ventilation et l'intubation ?","assets/images/obesite.webp","Cou court et épais|Prognathisme|Obésité (IMC > 30 kg/m ²)|Syndrome d’apnée du sommeil (SAOS)","2"
9,single,"Quelle caractéristique morphologique chez ce patient est un critère reconnu de ventilation difficile ?","assets/images/cou_muscle.webp","Distance thyro-mentonnière courte|Limitation de l'extension du cou|Grande circonférence du cou (> 43 cm)|Cou court et large/musclé","3"
10,single,"Quelle caractéristique sur cette photo est un facteur de risque d'intubation difficile ?","assets/images/dents_proeminentes.webp","Fragilité dentaire|Malocclusion dentaire de classe II|Incisives supérieures proéminentes|Espacement inter-incisif réduit","2"
11,multiple,"Identifiez les DEUX critères rendant la ventilation au masque et l'intubation difficiles sur cette image.","assets/images/barbe_ouverture_limitee.webp","Édentement|Ouverture de bouche < 3 cm|Présence d'une barbe|Mallampati classe IV","1|2"
12,multiple,"Identifiez les DEUX critères d'intubation difficile visibles sur cette image.","assets/images/cou_court_incisives.webp","Cou court et large|Rétrognathisme|Distance thyro-mentonnière < 6 cm|Incisives supérieures proéminentes","0|3"
13,multiple,"Identifiez les DEUX critères d'intubation difficile évidents sur cette image.","assets/images/mallampati4_obesite.webp","Mobilité cervicale limitée|Obésité|Présence d'une barbe|Score de Mallampati classe IV","1|3"
14,multiple,"Identifiez les DEUX facteurs majeurs d’intubation et de ventilation difficiles présents sur cette image.","assets/images/age_goitre.webp","Goitre ou masse cervicale|Antécédent de radiothérapie|Âge > 55 ans|Rachis cervical rigide","0|2"
15,multiple,"Identifiez les DEUX critères de ventilation au masque difficile visibles ici.","assets/images/barbe_obesite.webp","Édentement|Obésité|Barbe|Rigidité thoracique","1|2"
16,multiple,"Identifiez les DEUX critères morphologiques d'intubation difficile visibles sur cette image.","assets/images/obesite_retrognathie.webp","Rétrognathisme|Obésité|Mobilité de la nuque réduite|Obstacle intra-buccal","0|1"
17,multiple,"Identifiez les DEUX facteurs de risque de ventilation au masque difficile présents sur cette image.","assets/images/barbe_age.webp","Édentement|Ronflement chronique|Présence d'une barbe|Âge > 55 ans","2|3"
18,multiple,"Quels critères de ventilation difficile sont illustrés ici ?","assets/images/saos_barbe.webp","Présence d'une barbe|Syndrome d'apnée du sommeil|Cou court|Ouverture de bouche limitée","0|1"
19,multiple,"Quels critères de ventilation difficile sont suggérés par cette image ?","assets/images/obesite_saos.webp","Obésité|Syndrome d'apnée du sommeil|Présence d'une barbe|Âge > 55 ans","0|1"
20,multiple,"Ce patient présente un critère de ventilation difficile et un critère d'intubation difficile. Identifiez-les.","assets/images/dtm_edente.webp","Édentement|Distance thyro-mentonnière|Cou court|Âge > 55 ans","1|2"
21,multiple,"Ce patient présente deux critères de ventilation difficile. Lesquels ?","assets/images/obesite_edente.webp","Obésité|Édentement|Présence d'une barbe|Distance thyro-mentonnière","0|1"
22,multiple,"Identifiez les deux facteurs de risque de ventilation difficile présents chez ce patient.","assets/images/age_edente.webp","Âge > 55 ans|Édentement|Obésité|Cou court","0|1"
